Name,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Time,Schedule,Location,City,Location Info,Island,Coordinate,Website,Contact,Phone,Email
Mahiku Farmers' Market at International Market Place-Waikiki,,,,,4:00 PM to 8:00 PM,,,4:00 PM to 8:00 PM,,,Honolulu,International Market Place-Waikiki (near the Food Court),Oahu,"(21.304850435000446, -157.85774940299973)",www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
Mahiku Farmers' Market at Momilani Community Center,,,,,,3:00 PM to 7:00 PM,,3:00 PM to 7:00 PM,,715 Hoomoana St,Pearl City,corner of Hoomoana & Komo Mai Dr,Oahu,"(21.408970034000447, -157.96024986999973)",www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
Makawao Farmers' Market,,,,9:30 AM to 2:00 PM,,,,9:30 AM to 2:00 PM,,200 Olinda Rd,Makawao,Po'okela Church on Olinda Road,Maui,"(20.849390600000447, -156.30839892799975)",makawaofarmersmarket.org,Debbie,(808) 419-1570,
Makeke Kapolei,,,,,3:00 PM to 6:30 PM,,,3:00 PM to 6:30 PM,,,Kapolei,Kapolei High School,Oahu,"(21.334220008000443, -158.08191927499973)",,,(808) 697-3599,
Makiki District Park (People's Open Market),,8:30 AM to 9:30 AM,,,,,,8:30 AM to 9:30 AM,,1527 Keeaumoku Street,Honolulu,,Oahu,"(21.30367101400043, -157.83730940699974)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Makiki Local Grown Farmers' Market at St. Clement's Church,,,,,4:30 PM to 7:30 PM,,,4:30 PM to 7:30 PM,,1515 Wilder Avenue at Makiki St,Honolulu,Parking on Wilder after 5:30 p.m.,Oahu,"(21.30376089200047, -157.83456927999973)",www.farmfreshhawaii.com,George Lee,(808) 735-4550,georgelee2468@gmail.com
Maku’u Farmer’s Market,6:00 AM to 1:30 PM,,6:00 AM to 1:30 PM,6:00 AM to 1:30 PM,6:00 AM to 1:30 PM,,,6:00 AM to 1:30 PM,,,,"Highway 130, between Keaau and Pahoa",Hawaii,,,,"(808) 217-2307, (808) 965-1441, (808) 896-5537",kekahuna@localnet.com
Mamo Street Market,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,,,Hilo,"Mamo Parking Lot, Hilo",Hawaii,,,,,
Manoa Marketplace,7:00 AM to 11:00 AM,,7:00 AM to 11:00 AM,,7:00 AM to 11:00 AM,,,7:00 AM to 11:00 AM,,2752 Woodlawn Drive,Honolulu,,Oahu,"(21.307510418000447, -157.80973989899974)",,,"(808) 554-4667, (808) 847-0494",
Manoa Valley District Park (People's Open Market),,6:45 AM to 7:45 AM,,,,,,6:45 AM to 7:45 AM,,2721 Kaaipu Avenue,Honolulu,,Oahu,"(21.313510263000467, -157.81033479899975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Maui Mall Farmers' Market & Craft Fair,,,7:00 AM to 4:00 PM,7:00 AM to 4:00 PM,,7:00 AM to 4:00 PM,,7:00 AM to 4:00 PM,,70 East Kaahumanu Ave,Kahului,"Maui Mall, Kahului",Maui,"(20.892510160000427, -156.46427968799975)",,Cynda Hearn,(808) 871-1307,
"Maui Open Market, Maui Tropical Plantation",,,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,,1670 HONOAPIILANI HWY,Wailuku,,Maui,"(20.85027094500043, -156.50449895199975)",,,(808) 244-7643,
Maui Swap Meet at Maui Community College,,,,,,,6:00 AM to 1:00 PM,6:00 AM to 1:00 PM,,310 Ka'ahumanu Avenue,Kahului,Maui Community College (lot nearest to Kahului Beach Road),Maui,"(20.88888047000046, -156.47681997699974)",,,(808) 877-3100,
Merchant Street Market,,,10:00 AM to 1:00 PM,,,,,10:00 AM to 1:00 PM,2nd and 4th Tuesdays,841 Bishop Street,Honolulu,,Oahu,"(21.307830753000474, -157.86242916299975)",,,(808) 545-4477,dpcinfo@isleconcierge.com
Mililani District Park (People's Open Market),,,11:45 AM to 12:30 PM,,,,,11:45 AM to 12:30 PM,,94-1150 Lanikuhana Avenue,Mililani,,Oahu,"(21.440746715000444, -158.01797200199974)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Molokai Saturday Market,,,,,,,7:00 AM to 12:00 PM,7:00 AM to 12:00 PM,,40 Ala Malama Street,Kaunakakai,"Ala Malama Street at the Thomas Trade Building, located between Bank of Hawai‘i and American Savings Bank.",Molokai,"(21.09017112200047, -157.02199661599974)",,,,
Mother Waldron Park (People's Open Market),,10:15 AM to 11:00 AM,,,,,,10:15 AM to 11:00 AM,,525 Coral Street,Honolulu,,Oahu,"(21.300129225000433, -157.85790736199974)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
North Shore Country Market at Sunset Beach Elementary School,,,,,,,8:00 AM to 2:00 PM,8:00 AM to 2:00 PM,,,Haleiwa,,Oahu,"(21.58948073400046, -158.10290913599974)",www.northshorecountrymarket.com,,(808) 237-8248,
Nuuanu Farmers Market at Honolulu Central Seventh Day Adventist Church,,,4:00 PM to 7:00 PM,,,,,4:00 PM to 7:00 PM,,2313 Nuuanu Avenue,Honolulu,Honolulu Central Seventh Day Adventist Church,Oahu,"(21.326480443000435, -157.84731928399975)",,,(808) 282-2276,nuuanumarket@gmail.com
Old Stadium Park (People's Open Market),,,,8:15 AM to 9:15 AM,,,,8:15 AM to 9:15 AM,,2237 South King Street,Honolulu,,Oahu,"(21.293791309000426, -157.82719811599975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Ono Organic Farms Farmers' Market in Hana,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,10:00 AM to 6:00 PM,,149 Hana Highway,Hana,"Old gas station, Hasegawa General Store - Hana Hwy.",Maui,"(20.80699101600044, -156.09087728399973)",,,(808) 248-7779,
Paia’s One Love Farmers Market,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,10:00 AM to 4:00 PM,,381 Baldwin Ave,Paia,Historical Paia train depot,Maui,"(20.906238207000456, -156.37416925199975)",www.lahainaproduce.com,,,
Palolo Valley District Park (People's Open Market),,,,6:30 AM to 7:30 AM,,,,6:30 AM to 7:30 AM,,2007 Palolo Avenue,Honolulu,,Oahu,"(21.30061055100043, -157.79599893199975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Panaewa Hawaiian Home Lands Farmers’ Market,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,,,,"Corner of Puainako and Ohuohu., On the sidewalk of Hilo WalMart",Hawaii,,,Jerry,(808) 959-0488,
Pokai Bay Beach Park (People's Open Market),,,,,,11:00 AM to 11:45 AM,,11:00 AM to 11:45 AM,,85-037 Pokai Bay Road,Waianae,,Oahu,"(21.44185853600044, -158.18862608699973)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Queen Kapiolani Park (People's Open Market),,,,10:00 AM to 11:00 AM,,,,10:00 AM to 11:00 AM,,,Honolulu,Monsarrat and Paki Street,Oahu,"(21.304850435000446, -157.85774940299973)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Queen's Medical Center,,,,10:00 AM to 2:00 PM,,,,10:00 AM to 2:00 PM,1st Wednesdays,1301 Punchbowl Street,Honolulu,,Oahu,"(21.307250002000444, -157.85527925099973)",,,,
Restaurant Row Farmers' Market,,,,10:00 AM to 1:00 PM,,,,10:00 AM to 1:00 PM,Every Wednesday,500 Ala Moana Boulevard,Honolulu,,,,,,(808) 537-5158,wfpinfo@isleconcierge.com
Royal Kunia Park-n-Ride (People's Open Market),9:30 AM to 11:00 AM,,,,,,,9:30 AM to 11:00 AM,,,Waipahu,Kupuna Lp / Kupohi Stree,Oahu,"(21.385861307000425, -158.00350991899975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Salt Lake Municipal Lot  (People's Open Market),,,,,,,11:15 AM to 12:00 PM,11:15 AM to 12:00 PM,,5337 Likini Street,Honolulu,,Oahu,"(21.34594295700043, -157.90491127999974)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
South Kona Fruit Stand,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,9:00 AM to 6:00 PM,,84-4770 Mamalahoa Hwy,Captain Cook,"Near the old Higashi Store, between mile marker 103 &104",Hawaii,,,Beth,(808) 328-8547,
The Kailua Thursday Night Farmers Market,,,,,5:00 PM to 7:30 PM,,,5:00 PM to 7:30 PM,,,Kailua-Kona,Kailua Road - Kailua Parking Garage (behind Longs),Oahu,"(21.396571048000453, -157.74006959799974)",www.hfbf.org,,(808) 848-2074,
The Market Place,,,,7:00 AM to 3:00 PM,,,,7:00 AM to 3:00 PM,,,,Across from the Hilo Farmer’s Market,Hawaii,,www.hilofarmersmarket.com,Keith,(808) 933-1000,
The Maui's Fresh Produce Farmer's Market at Queen Ka'ahumanu Shopping Center,,,7:00 AM to 4:00 PM,7:00 AM to 4:00 PM,,7:00 AM to 4:00 PM,,7:00 AM to 4:00 PM,,275 W. Ka’ahumanu Ave,Kahului,Center stage area,Maui,"(20.881122485000446, -156.47201774299972)",,,(808) 877-4325,
The Mililani Sunday Farmers' Market at Mililani High School,8:00 AM to 12:00 PM,,,,,,,8:00 AM to 12:00 PM,,95-1200 Meheula Parkway,Mililani,Mililani High School Parking Lot,Oahu,"(21.452906795000445, -158.00846980399973)",www.hfbf.org,,(808) 848-2074,
The Saturday Farmers' Market at Kapiolani Community College Campus,,,,,,,7:30 AM to 11:00 AM,7:30 AM to 11:00 AM,,4303 Diamond Head Road,Honolulu,,Oahu,"(21.26960032800048, -157.80306933599974)",www.hfbf.org,,(808) 848-2074,
The South Kona Green Market at Amy Greenwell Ethnobotanical Garden,9:00 AM to 2:00 PM,,,,,,9:00 AM to 2:00 PM,9:00 AM to 2:00 PM,,,Captain Cook,,Hawaii,"(19.496937200000446, -155.92166908399975)",www.skgm.org,Esta Feedora,(808) 328-2400,
Under the Banyan’s Farmers’ Market in Hawi,,,,,,,7:30 AM to 1:00 PM,7:30 AM to 1:00 PM,,,,,Hawaii,,,,,
Upcountry Farmers' Market at Pukalani Longs Drugs at Kulamalu,,,,,,,7:00 AM to 12:00 PM,7:00 AM to 12:00 PM,,55 Kiopaa St,Makawao,in the parking lot next to Long's  Drugs at Kulamalu,Maui,"(20.822089506000452, -156.33009308199973)",,,,info@upcountryfarmersmarket.com
Vidinha Stadium (Sunshine Markets),,,,,,3:00 PM,,3:00 PM,,,Lihue,Hoolako Road,Kauai,"(21.967180168000425, -159.36190806199974)",,Cora Asuncion,(808) 742-1834,
Village Farmers’ Market,8:00 AM to 5:00 PM,,,,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,8:00 AM to 5:00 PM,,,Kailua-Kona,"Across from Hale Halawai, Kailua-Kona",Hawaii,,,,,
Volcano Farmers’ Market,7:00 AM to 9:00 AM,,,,,,,7:00 AM to 9:00 AM,,1000 Wright Road,Cooper Center,,Hawaii,,,Betsy Mitchell,(808) 967-7209,
Wahiawa District Park (People's Open Market),,,10:00 AM to 11:00 AM,,,,,10:00 AM to 11:00 AM,,,Wahiawa,N. Cane & California Avenue,Oahu,"(21.304850435000446, -157.85774940299973)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Waialua Farmers' Market,,,,,,,8:30 AM to 12:00 PM,8:30 AM to 12:00 PM,,,,Waialua Sugar Mill,Oahu,"(21.304850435000446, -157.85774940299973)",,Edith Ramiscal,,info@sugarmillhawaii.com
Waianae Farmers' Market (sponsored by Waianae Coast Comprehensive Center),,,,,,,8:30 AM to 11:30 AM,8:30 AM to 11:30 AM,,85-251 Farrington Highway,Waianae,"Waianae High School, Cafeteria Lanai",Oahu,"(21.455940520000468, -158.19946945199973)",www.waianaefarmersmarket.org,Desiree,(808) 388-7386,waianaefarmersmarket@wcchc.com
Waiau District Park (People's Open Market),,,6:30 AM to 7:30 AM,,,,,6:30 AM to 7:30 AM,,,Pearl City,"Komo Mai Drive, Pearl City",Oahu,"(21.393800202000477, -157.96977976199975)",www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
