FARMER'S MARKET,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Time,Location 1,Location Info,Island,Website,Contact,Phone,Email
Paia’s One Love Farmers Market,X,X,X,X,X,X,X,10:00 AM - 4:00 PM,"381 Baldwin Ave
Paia, HI 96799
(20.906238207000456, -156.37416925199975)",Historical Paia train depot,Maui,http://www.lahainaproduce.com,,,
The South Kona Green Market at Amy Greenwell Ethnobotanical Garden field in ,X,,,,,,X,9:00 AM to 2:00 PM,"Captain Cook
(19.496937200000446, -155.92166908399975)",,Hawaii,http://www.skgm.org,Esta Feedora,(808) 328-2400,
Kailua District Park (People's Open Market),,,,,X,,,9:00 AM to 10:00 AM,"21 South Kainalu Drive
Kailua, HI
(21.39584092800044, -157.73751944899973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Merchant Street Market,,,X*,,,,,10:00 AM to 1:00 PM,"841 Bishop Street
Honolulu, HI
(21.307830753000474, -157.86242916299975)",2nd and 4th Tuesday of each month,Oahu,,,(808) 545-4477,dpcinfo@isleconcierge.com
"Manoa Marketplace
2752 Woodlawn Drive, Honolulu
7:00 AM to 11:00 AM
Phone: (808) 847-0494 Cell: (808) 554-4667",X,,X,,X,,,,,,,,,,
"The Kailua Thursday Night Farmers Market
Kailua Road - Kailua Parking Garage (behind Longs)
5:00 PM to 7:30 PM
Phone: (808) 848-2074
www.hfbf.org",,,,,X,,,,,,,,,,
"Halawa District Park (People's Open Market)
99-795 Iwaiwa Street
7:00 AM to 8:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",, ,,,,X,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Makeke Kapolei
Kapolei High School",,,,,X,,,3:00 PM to 6:30 PM,"Kapolei, HI
(21.334220008000443, -158.08191927499973)",,Oahu,,,(808) 697-3599 or 692-8200 ext. 2267,
"KAUAI FARMER’S MARKETS
Updated 3/15/2011",,,,,,,,,,,,,,,
Makiki Local Grown Farmers' Market at St. Clement's Church,,,,,X,,,4:30 PM to 7:30 PM,"1515 Wilder Avenue
Honolulu, HI
(21.30376089200047, -157.83456927999973)",Parking on Wilder after 5:30 p.m,Oahu,,George Lee,(808) 735-4550,georgelee2468@gmail.com
"Ward Center
Parking lot across from Ward 16 Theatres, Corner of Auahi & 
Kamakee St.
8:00 AM to 1:00 PM
www.wardcenters.com",,,X,,,,,,,,,,,,
"Honolulu Farmers' Market 
Neal S. Blaisdell Center (Ward Ave. & Kapiolani Blvd.)
4:00 PM to 7:00 PM
Phone: (808) 848-2074
http://www.hfbf.org",,,,X,,,,,,,,,,,
"Windward Mall
46-056 Kamehameha Highway, Kaneohe (fronting Macy's)
3:00 PM to 8:00 PM
www.windwardmall.com/event/farmers-market-every-Wednesday",,,,X,,,,,,,,,,,
"Queen Kapiolani Park (People's Open Market)
Monsarrat and Paki Street, Honolulu
10:00 AM to 11:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,,X,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Halawa District Park (People's Open Market),, ,,,,X,,7:00 AM to 8:00 AM,"99-795 Iwaiwa Street, HI",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"West Kauai Agricultural Association
Poipu Road and Cane Haul Road
Poipu, HI 
8 AM",,X,,,, ,,,,,,,,,
Ala Moana Farmers' Market,,,,,,,X,9:00 AM to 1:00 PM,"1450 Ala Moana Blvd.
Honolulu, HI
(21.28928015800045, -157.84219969299974)","Ala Moana Center, upper deck by Sears, corner of Piikoi & Ala Moana Blvd.","
http://alamoanafarmersmarket.com/ala-moana.html",,"808-388-9696
",AlaMoanaFarmersMarket@gmail.com,
"Hilo Coffee Mill ""Market @ The Mill""",,,,,,,X,8:00 AM - 1:00 PM,17-995 Volcano Rd,"Hilo Coffee Mill Farm, Between Mile Markers 12 & 13",Hawaii,,Katherine Patton  ,(808) 968-1333,
"Waimea Town Market
Parker School
Behind Paniolo Country Inn
7:00 AM to 2:00 PM",,,,,,,X,,,,,,,,
"Queen's Medical Center
1301 Punchbowl Street, Honolulu
10:00 AM to 2:00 PM
First Wednesdays",,,,"X
1st Wed.",,,,,,,,,,,
"Hale'iwa Farmers' Market 
Kam Hwy. and Joseph P. Leong Bypass
9:00 AM to 1:00 PM
Phone: (808) 388-9696 email: haleiwafarmersmarket@gmail.com
www.haleiwafarmersmarket.com",X,,,,,, ,,,,,,,,
Banyan Court Mall (People's Open Market),,,,,,,X,6:15 AM to 7:30 AM,"800 North King Street
Honolulu, HI
(21.302690421000477, -157.85208973299973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Ward Center,,,X,,,,,8:00 AM to 1:00 PM,"HI
(21.304850435000446, -157.85774940299973)","Parking lot across from Ward 16 Theatres, Corner of Auahi & Kamakee St.",Oahu,http://www.wardcenters.com,,,
,Sun,Mon,Tues,Wed,Thurs,Fri,Sat,Time,"Address
City, State Zip",Location Info,Website,,Phone,Email,
"Mahiku Farmers' Market
Momilani Community Center
715 Hoomoana St. (corner of Hoomoana & Komo Mai Dr.)
Pearl City, HI  96782
3:00 PM to 7:00 PM
Contact: Sonny Doung     Phone: (808) 225-4002
Email: sonnydoung@hotmail.com",,,,,,X,,,,,,,,,
Kauai Community Market (Kauai Community College),,,,,,,X,10:00 AM - 1:00 PM  ,,Campus front parking lot across from Grove Farm,Kauai,,Melissa McFerrin,(808) 337-9944,kcfb@hawaiiantel.ne
"Hawaiian Homestead Farmers’ Market
64-759 Kahilu Road, Waimea (located at Kuhio Hale Building)
7:00 AM to 12:00 NOON",,,,,,,X,,,,,,,,
Honolulu Farmers' Market at Neal S. Blaisdell Center,,,,X,,,,4:00 PM to 7:00 PM,"777 Ward Ave
Honolulu, HI 96814
(21.29999544000043, -157.85177574799974)",Ward Ave. & King Street,Oahu,http://www.hfbf.org,,(808) 848-2074,
"Kilauea Neighborhood Center (Sunshine Markets)
Keneke off Lighthouse Road, Kilauea
4:30 PM
Ben Ferris, Phone: (808) 822-1712",,,,,X,,,,,,,,,,
Makiki District Park (People's Open Market),,X,,,,,,8:30 AM to 9:30 AM,"1527 Keeaumoku Street
Honolulu, HI
(21.30367101400043, -157.83730940699974)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Under the Banyan’s Farmers’ Market in Hawi,,,,,,,X,7:30 AM to 1:00 PM,,,Hawaii,,,,
"Farmers' Market of Maui-Kihei 
Located in Suda Store parking lot on South Kihei Road
8:00 AM to 4.00 PM
Contact: (808) 875-0949",,X,X,X,X,X,,,,,,,,,
North Shore Country Market at Sunset Beach Elementary School,,,,,,,X,8:00 AM to 2:00 PM,"Haleiwa, HI
(21.58948073400046, -158.10290913599974)",,Oahu,http://www.northshorecountrymarket.com,,(808) 237-8248,
,,,,,,,,,".
BIG ISLAND FARMER’S MARKETS Updated 01/10/2011",,,,,,
"Kailua District Park (People's Open Market)
21 South Kainalu Drive, Kailua
9:00 AM to 10:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,X,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Waikele Community Park (People's Open Market),X,,,,,,,11:30 AM to 12:30 PM,"94-870 Lumiaina Street
Waipahu, HI
(21.40006058600045, -158.00463924399975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Upcountry Farmers' Market at Pukalani Longs Drugs at Kulamalu,,,,,,,X,7:00 AM - 12:00 NOON,"55 Kiopaa St
Makawao, HI 96768
(20.822089506000452, -156.33009308199973)",in the parking lot next to Long's  Drugs at Kulamalu,Maui,,,,info@upcountryfarmersmarket.com
"Hawaiian Farmers of Hanalei
Waipa, Hanalei
2 PM",,,X,,,,,,,,,,,,
"Kaneohe District Park (People's Open Market)
45-660 Keaahala Road, Kaneohe
10:45 AM to 11:45 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,,,X,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Farmers' Market of Maui-Honokowai,,X,,X,,X,,7:00 AM to 11:00 AM,"3636 Lower Honoapi‘ilani Road
Lahina, HI 96761
(20.917090441000425, -156.68139921299974)",Location at Hawaiian Motors parking lot (across from Honokowai Park),Maui,,,(808) 669-7004,
Maui Mall Farmers' Market & Craft Fair,,,X,X,,X,,7:00 AM to 4:00 PM,"70 East Kaahumanu Ave
Kahului, HI 96732
(20.892510160000427, -156.46427968799975)",,Maui,,Cynda Hearn,(808) 871-1307,
Ho'oulu Community Farmers Market at Keauhou Beach Resort Royal Gardens,,,,X,,,,12:30 PM to 5:30 PM,,,Hawaii,,Kumu Keala Ching,(808) 324-2540,keala.ching@outrigger.com
Lipoa Street Farmers' Market,,,,,,,X,8:00 AM - 12:00 NOON,"95 Lipoa Street
Kihei, HI 96753
(20.747920615000453, -156.45249990599973)",,Maui,,,,
"South Kona Fruit Stand
Near the old Higashi Store, between mile marker 103 &104
84-4770 Mamalahoa Hwy, Captain Cook
9:00 AM to 6:00 PM
Beth:  Phone: (808) 328-8547",X,X,X,X,X,X,X,,,,,,,,
Salt Lake Municipal Lot  (People's Open Market),,,,,,,X,11:15 AM to 12:00 Noon,"5337 Likini Street
Honolulu, HI
(21.34594295700043, -157.90491127999974)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"The Maui's Fresh Produce Farmer's Market
Queen Ka'ahumanu Shopping Center (center stage area)
Kaahumanu Avenue, Kahului
7:00 AM to 4:00 PM
Pepito Valdez  (808) 298-4289",,,X,X,,X,,,,,,,,,
"Mililani District Park (People's Open Market)
94-1150 Lanikuhana Avenue, Mililani
11:45 AM to 12:30 PM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,X,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Wahiawa District Park (People's Open Market)
N. Cane & California Avenue, Wahiawa
10:00 AM to 11:00 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom ",,,X,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Manoa Valley District Park (People's Open Market),,X,,,,,,6:45 AM to 7:45 AM,"2721 Kaaipu Avenue
Honolulu, HI 96822
(21.313510263000467, -157.81033479899975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Country Market & Craft Fair
Waimanalo Homestead Community Center


, Phone: (808) 259-8611, Cell: (808) 284-2575
Tong Sang, Phone: (808) 259-7602",X,,,,,,,9:00 AM to 4:00PM,1330 Kalanianaole Hwy.,,,,,,
The Kailua Thursday Night Farmers Market,,,,,X,,,5:00 PM to 7:30 PM,"Kailua, HI
(21.396571048000453, -157.74006959799974)",Kailua Road - Kailua Parking Garage (behind Longs),Oahu,http://www.hfbf.org,,(808) 848-2074,
Mother Waldron Park (People's Open Market),,X,,,,,,10:15 AM to 11:00 AM,"525 Coral Street
Honolulu, HI
(21.300129225000433, -157.85790736199974)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Kalihi Farmers' Market 
Kapalama Elementary School - 1601 N. School Street
7:00 AM to 1:00 PM 
Contact:  Sonny Doung    Phone: (808) 225-4002
Email:  sonnydoung@hotmail.com  www.mahikufarmersmarket.com",X,,,,,,,,,,,,,,
Ewa Beach Community Park (People's Open Market),,,,,,X,,9:00 AM to 10:00 AM,"91-955 North Road
Ewa Beach, HI
(21.31354031200044, -158.00906976999974)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Kekela Farm,,,X,,X,X,,2:00 PM to 5:00 PM,64-604 Mana Road,,Hawaii,,,(808) 887-0023,
"Waimanalo Beach Park (People's Open Market)
41-741 Kalanianaole Highway, Waimanalo
7:15 AM to 8:15 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,,X,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Honokaa Farmer’s Market
Old Botelho Bldg., Downtown Honokaa
7:30 AM to 2:00 PM",,,,,,,X,,,,,,,,
"Vidinha Stadium (Sunshine Markets)
Hoolako Road, Lihue
3 PM
Cora Asuncion, Phone (808) 742-1834",,,,,,X,,,,,,,,,
"Waikele Community Park (People's Open Market)
94-870 Lumiaina Street, Waipahu
11:30 AM to 12:30 PM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",X,,,,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
"Makiki Local Grown Farmers' Market at St. Clement's Church
1515 Wilder Avenue at Makiki St. (Parking on Wilder after 5:30 p.m.)
4:30 PM to 7:30 PM
Contact: George Lee (808) 735-4550 or georgelee2468@gmail.com
Agent Juanita Kawamoto, Farm Fresh Hawaii; www.farmfreshhawaii.com",,,,,X,,,,,,,,,,
Kahaluu Farmers' Market at Windward Baptist Church,,,,,,X,,3:00 PM to 7:00 PM,"47-528A Kamehameha Hwy., HI",Across from 7-11,Oahu,http://www.mahikufarmersmarket.com,Sonny Doung,(808) 225-4002,sonnydoung@hotmail.com
Kinoole Farmer's Market,,,,,,,X,7:00 AM to 12 Noon,"1990 Kinoole Street, Hilo
(19.690021148000426, -155.06952407299974)",,Hawaii,,Lori,(808) 557-2780,bifb@hawaiiantel.net
Hale'iwa Farmers' Market ,X,,,,,, ,9:00 AM to 1:00 PM,"HI
(21.304850435000446, -157.85774940299973)",Kam Hwy. and Joseph P. Leong Bypass,Oahu,http://www.haleiwafarmersmarket.com,,(808) 388-9696,haleiwafarmersmarket@gmail.com
West Kauai Agricultural Association,,X,,,, ,,8:00 AM,,Poipu Road and Cane Haul Road,Kauai,,,,
,Sun,Mon,Tues,Wed,Thurs,Fri,Sat,,,,,,,,
The Maui's Fresh Produce Farmer's Market at Queen Ka'ahumanu Shopping Center ,,,X,X,,X,,7:00 AM to 4:00 PM,"275 W. Ka’ahumanu Ave
Kahului, HI 96732
(20.881122485000446, -156.47201774299972)",Center stage area,Maui,,,(808) 877-4325,
"Keauhou Farmer’s Market
Keauhou Shopping Center, fronting Ace Hardware
8:00 AM to 12 NOON
Nancy: (808) 322-3118, (808) 322-2362, nkona@hawaii.rr.com",,,,,,,X,,,,,,,,
Kaumualii Street (People's Open Market),,,,,,,X,8:15 AM to 9:30 AM,"Honolulu, HI
(21.304850435000446, -157.85774940299973)",Kalihi Street,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Hanapepe Park (Sunshine Markets)
Old Hanapepe Town
3 PM
Cora Asuncion, Phone: (808) 742-1834",,,,,X,,,,,,,,,,
First Insurance Center,,,,X*,,,,10:00 AM to 1:00 PM,"1100 Ward Ave
Honolulu, HI
(21.30303034500048, -157.84976903599974)","*1st & 3rd Wednesdays, across from Thomas Square",Oahu,,,,
"Mamo Street Market
Mamo Parking Lot, Hilo",X,X,X,X,X,X,X,8:00 AM to 5:00 PM,,,Hawaii,,,,
Pokai Bay Beach Park (People's Open Market),,,,,,X,,11:00 AM to 11:45 AM,"85-037 Pokai Bay Road
Waianae, HI
(21.44185853600044, -158.18862608699973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
Davies Pacific Center,,,X*,,,,,10:00 AM - 1:00 PM,"841 Bishop Street
Honolulu, HI
(21.307830753000474, -157.86242916299975)",*2nd & 4th Tuesdays,Oahu,,,,
Hali'imaile Farmers' Market at Hali'imaile Town Center,,,,,,X,,1:00 PM - 6:00 PM,"900 Haliimaile Rd
Makawao, HI 96768
(20.868329790000473, -156.34021118699974)",in former Maui Pineapple Co. parking lot next to Hali'imaile General Store,Maui,,,(808) 463-1676,
Village Farmers’ Market,X,,,,X,X,X,8:00 AM to 5:00 PM,,"Across from Hale Halawai, Kailua-Kona",Hawaii,,,,
"Keaau Village Farmers’ Market
16-0550 Old Volcano Road
7:00 AM to 5:00 PM
Phone: (808) 966-4853",,,X,X,X,X,X,,,,,,,,
"Waikoloa Village Farmers Market
Waikoloa Community Church Parking Lot
68-3625 Paniolo Ave., Waikoloa
7:15 AM to 10:00 AM",,,,,,,X,,,,,,,,
"Restaurant Row Farmers' Market
500 Ala Moana Boulevard, Honolulu
Every Wednesday 10AM - 1PM
Phone: (808) 537-5158
wfpinfo@isleconcierge.com",,,,X,,,,,,,,,,,
Hana Fresh Market,X,X,X,X,X,X,X,All Day,"4590 Hāna Highway
Hana, HI 96713
(20.64924257700045, -156.06698936499973)",between mile markers 34 and 35.,Maui,,,(808) 248-7515 ext. 26,
Kapaa New Town Park (Sunshine Markets),,,,X,,,,3:00 PM,"Kahau Road, Kapaa",,Kauai,,Nancy Blalock,(808) 822-5887,
"Koloa Ball Park (Knudsen) (Sunshine Markets)
Maluhia Road, Koloa
Noon
Branch Harmony, Phone: (808) 322-0718 ",,X,,,,,,,,,,,,,
Keauhou Farmer’s Market at Keauhou Shopping Center,,,,,,,X,8:00 AM to 12 NOON,,fronting Ace Hardware,Hawaii,,Nancy,"(808) 322-3118, (808) 322-2362",nkona@hawaii.rr.com
"The Market Place
Across from the Hilo Farmer’s Market
7:00 AM to 3:00 PM
Keith: Phone: (808) 933-1000
www.hilofarmersmarket.com",,,,X,,,,,,,,,,,
"Ono Organic Farms Farmers' Market
Old gas station, Hasegawa General Store - Hana Hwy.
All day",,X,,,X,, ,,,,,,,,
"Laupahoehoe Farmers' Market
Laupahoehoe - next to the Minit Stop on Hwy. 19
9:00AM to 1:00PM Every Sunday
Beth Fulton: (808) 443-1679
Email: bethflo@hotmail.com",X,,,,,,,,,,,,,,
Kalihi Valley District Park (People's Open Market),,,,,,,X,10:00 AM to 10:45 AM,"1911 Kam IV Road
Honolulu, HI
(21.304850435000446, -157.85774940299973)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"Hawaii Kai Farmers' Market
at Kaiser High School in Hawaii Kai
511 Lunalilo Home Road
9:00 AM - 1:00 PM
Phone:  (808) 388-9696
www.makekeomaunalua.com",,,,,,,X,,,,,,,,
Vidinha Stadium (Sunshine Markets),,,,,,X,,3:00 PM,"Hoolako Road
Lihue
(21.967180168000425, -159.36190806199974)",,Kauai,,Cora Asuncion,(808) 742-1834,
King's Village Shopping Center,,,,,,X,,4:00 PM to 9:00 PM,"131 Kaiulani Ave.
Honolulu, HI
(21.27717082300046, -157.82522887899975)",,Oahu,http://www.kings-village.com,,(808) 237-6340,
Waikiki Farmers' Market,,,X,,,X,,7:00 AM to 1:00 PM ,"HI
(21.304850435000446, -157.85774940299973)",Waikiki Community Center's Parking Lot,Oahu,,,(808) 923-1802,
"Old Stadium Park (People's Open Market)
2237 South King Street, Honolulu
8:15 AM to 9:15 AM
Phone: (808) 522-7088
www.co.honolulu.hi.us/parks/programs/pom",,,,X,,,,,,,www.co.honolulu.hi.us/parks/programs/pom ,,(808) 522-7088,,
Kapolei Community Park (People's Open Market),X,,,,,,,7:00 AM to 8:30 AM,"91-1049 Kamaaha Loop
Kapolei, HI
(21.333890771000426, -158.06702957399975)",,Oahu,http://www.co.honolulu.hi.us/parks/programs/pom,,(808) 522-7088,
"First Insurance Center
1100 Ward Ave., Honolulu (across from Thomas Square)
10:00 AM to 1:00 PM
*1st & 3rd Wednesdays",,,,"X
*1st & 3rd ",,,,,,,,,,,
Hilo’s Farmer’s Market,,,,X,,,X,6:00 AM to 4:00 PM,,Corner of Kamehameha Avenue and Mamo Street,Hawaii,http://www.hilofarmersmarket.com,Keith,(808) 933-1000,
"Hilo Coffee Mill ""Market @ The Mill""
Hilo Coffee Mill Farm
17-995 Volcano Rd. (Between Mile Markers 12 & 13)
8:00 AM - 1:00 PM
Katherine Patton:  (808) 968-1333",,,,,,,X,,,,,,,,
